text,link
"
රා.තෝ.කේ මගින් ආවරණය කරන මණ්ඩල ලැයිස්තුව
පරමාණුක බලශක්ති මණ්ඩළයශ්‍රී ලංකා ආයෝජන මණ්ඩලයලංකා විදුලිබල මණ්ඩලයCoconut Cultivation BoardDevelopment Lotteries Boardසේවා නියුක්තයින්ගේ භාර අරමුදල් මණ්ඩලය (ඊ. ටී. එෆ්)ලංකා කාර්මික සංවර්ධන මණ්ඩලයInsurance Board of Sri Lankaජාතික පශු සම්පත් සංවර්ධන මණ්ඩලයජාතික ජල සම්පාදන හා ජලාපවහන මණ්ඩලයශ්‍රී ලංකා අපනයන සංවර්ධන මණ්ඩලයSri Lanka Handicrafts Boardශ්රී් ලංකා සමාජ ආරක්ෂණ මණ්ඩලයශ්‍රී ලංකා තේ මණ්ඩලය
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=7&task=cat
"
රා.තෝ.කේ මගින් ආවරණය කරන කාර්යාංශ ලැයිස්තුව
ඉංජිනේරුමය කාර්යයන් පිළිබඳ මධ්‍යම උපදේශක කාර්යාංශයCREDIT INFORMATION BUREAU OF SRI LANKAභූ විද්‍යා සමීක්ෂණ හා පතල් කාර්යාංශයශ්‍රි ලංකා විදේශ සේවා නියුක්ති කාර්යාංශයශ්‍රී ලංකා කාන්තා කාර්යාංශය
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=18&task=cat
"
රා.තෝ.කේ මගින් ආවරණය කරන සංස්ථා ලැයිස්තුව
Ceylon Fishery Harbours CorporationCeylon Petroleum CorporationSri Lanka Ayurvedic Drugs CorporationSri Lanka Cashew Corporationශ්‍රි ලංකා ඉඩම් ගොඩකිරීමේ හා සංවර්ධනය කිරිමේ සංස්ථාවශ්‍රී ලංකා රූපවාහිනි සංස්ථාවSri Lanka State Trading (General) CorporationState Development and Construction Corporation State Pharmaceuticals CorporationState Printing Corporation  රාජ්‍ය  දැව සංස්ථාව
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=9&task=cat
"
රා.තෝ.කේ මගින් ආවරණය කරන අධිකාරි ලැයිස්තුව
මධ්‍යම පරිසර අධිකාරියශ්‍රී ලංකා සිවිල් ගුවන් සේවා අධිකාරියපොල් සංවර්ධන අධිකාරියසහාධිපත්‍ය කළමනාකරණ අධිකාරියපාරිභෝගික කටයුතු පිළිබඳ අධිකාරියශ්‍රී ලංකා මහවැලි අධිකාරියMarine Environment Protection Authorityජාතික ආධුනිකත්ව සහ කාර්මික පුහුණු අධිකාරියNational Aquaculture Development Authority of Sri Lanka (NAQDA)National Child Protection Authorityජාතික නිවාස සංවර්ධන අධිකාරියRehabilitation of Persons, Properties and Industries Authority මාර්ග සංවර්ධන අධිකාරියSustainable Energy Authority of Sri Lankaකුඩා තේ වතු සංවර්ධන අධිකාරියTourism Development Authority of Sri Lankaනාගරික සංවර්ධන අධිකාරියවෘත්තීය පුහුණු අධිකාරිය
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=6&task=cat
"
රා.තෝ.කේ මගින් ආවරණය කරන දෙපාර්තමේන්තු ලැයිස්තුව
කෘෂිකර්ම දෙපාර්තමේන්තුවසත්ව නිෂ්පාදන හා සෞඛ්‍ය දෙපාර්තමේන්තුවපුරාවිද්‍යා දෙපාර්තමේන්තුවනීතිපති දෙපාර්තමේන්තුවආයුර්වේද දෙපාර්තුමේන්තුවDepartment of Buildingsජනලේඛන හා සංඛ්‍යාලේඛන දෙපාර්තමේන්තුවවාණිජ දෙපාර්තමේන්තුවසංස්කෘතික කටයුතු දෙපාර්තමේන්තුවරේගු දෙපාර්තුමේන්තුවDepartment of Divinaguma Development අධ්‍යාපන ප්‍රකාශන දෙපාර්තමේන්තුවවිභාග දෙපාර්තමේන්තුවශ්‍රී ලංකා සුරාබදු දෙපාර්තමේන්තුවඅපනයන කෘෂිකර්ම දෙපාර්තමේන්තුවධීවර හා ජලජ සම්පත් දෙපාර්තමේන්තුවවන සංරක්ෂණ දෙපාර්තමේන්තුවආණ්ඩුවේ රස පරීක්ෂක දෙපාර්තමේන්තුවආගමන හා විගමන දෙපාර්තමේන්තුවආනයන අපනයන පාලන දෙපාර්තමේන්තුවදේශීය ආදායම් දෙපාර්තමේන්තුවකම්කරු දෙපාර්තමේන්තුවඉඩම් කොමසාරිස්  ජනරාල් දෙපාර්තමේන්තුවමිනිස්බල හා රැකිරක්‍ෂා දෙපාර්තමේන්තුවමිනුම් ඒකක, ප්‍රමිති සහ සේවා දෙපාර්තමේන්තුවකාලගුණ විද්‍යා දෙපාර්තමේන්තුවමෝටර් රථ වාහන දෙපාර්තමේන්තුවDepartment of National ArchivesDepartment of National Botanic Gardensජාතික කෞතුකාගාර දෙපාර්තමේන්තුවජාතික සත්ත්වෝද්‍යාන දෙපාර්තමේන්තුවරාජ්‍ය භාෂා දෙපාර්තමේන්තුවවිශ්‍රාම වැටුප් දෙපාර්තමේන්තුවපොලිස් දෙපාර්ත‍මේන්තූවතැපැල් දෙපාර්තමේන්තුවබන්ධනාගාර දෙපාර්තමේන්තුවපරිවාස හා ළමාරක්ෂණ සේවා දෙපාර්තමේන්තුව(මධ්‍යම රජය)ශ්‍රී ලංකා දුම්රිය දෙපාර්තමේන්තුවරෙජිස්ට්‍රාර් ජනරාල් දෙපාර්තමේන්තුවසමාගම් රෙජිස්ට්‍රාර් දෙපාර්තමේන්තුවපුද්ගලයන් ලියාපදිංචිකිරීමේ දෙපාර්තමේන්තුවDepartment of Rubber Developmentසමාජ සේවා දෙපාර්තමේන්තුවශ්‍රී ලංකා මිනින්දෝරු දෙපාර්තමේන්තුවකාර්මික අධ්‍යාපන හා පුහුණු කිරීමේ දෙපාර්තමේන්තුවසමෘද්ධි කොමසාරිස් ජනරාල් දෙපාර්තමේන්තුවවන ජීවී සංරක්ෂණ දෙපාර්තමේන්තුව
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=5&task=cat
"
රා.තෝ.කේ මගින් ආවරණය කරන අග්‍රාමාත්‍ය කාර්යාලය ලැයිස්තුව
අග්‍රාමාත්‍ය කාර්යාලය
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=2&task=cat
"
රා.තෝ.කේ මගින් ආවරණය කරන ජනාධිපති ලේකම් කාර්යාලය ලැයිස්තුව
අමාත්‍ය මණ්ඩල කාර්යාලයජනාධිපති අරමුදලජනාධිපති  ලේකම් කාර්යාලය
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=1&task=cat
"
රා.තෝ.කේ මගින් ආවරණය කරන රාජ්‍ය ආයතන
ජනාධිපති ලේකම් කාර්යාලයඅග්‍රාමාත්‍ය කාර්යාලයඅමාත්‍යාංශදෙපාර්තමේන්තුඅධිකාරිමණ්ඩලකොමිෂන් සභාසංස්ථාකාර්යාංශආයතනයන්අනෙකුත් රාජ්‍ය ආයතනදිස්ත්‍රික් ලේකම් කාර්යාලප්‍රාදේශීය ලේකම් කාර්යාල රාජ්‍ය බැංකුරජයේ රෝහල්
තෝරාපත්කරගත් ආයතන
පාර්ලිමේන්තුවපළාත් සභාමහ නගර සභානගර සභාප්‍රාදේශීය සභා
",http://www.gic.gov.lk/gic/index.php/si/component/org/
"
රා.තෝ.කේ මගින් ආවරණය කරන අමාත්‍යාංශ ලැයිස්තුව
විදේශ රැකියා අමාත්‍යාංශයකෘෂිකර්ම අමාත්‍යංශයබුද්ධ ශාසන අමාත්‍යාංශයආරක්ෂක අමාත්‍යාංශයආපදා කළමනාකරණ අමාත්‍යංශයඅධ්‍යාපන අමාත්‍යාංශයමුදල් අමාත්‍යාංශයධීවර සහ ජලජ සම්පත් සංවර්ධන අමාත්‍යංශයවිදේශ කටයුතු අමාත්‍යාංශයසෞඛ්‍ය, පෝෂණ සහ දේශීය වෛද්‍ය අමාත්‍යාංශයවිශ්ව විද්‍යාල අධ්‍යාපන හා මහමාර්ග අමාත්‍යාංශයස්වදේශ කටයුතු අමාත්‍යාංශයනිවාස සහ ඉදිකිරීම් අමාත්‍යාංශයකර්මාන්ත හා වාණිජ කටයුතු අමාත්‍යාංශයඅධිකරණ අමාත්‍යාංශයකම්කරු හා වෘත්තීය සමිති සබඳතා අමාත්‍යාංශයඉඩම් අමාත්‍යාංශයනීතිය, සාමය හා බන්ධනාගාර ප්‍රතිසංස්කරණ අමාත්‍යාංශයමහවැලි සංවර්ධන සහ පරිසර අමාත්‍යංශයජාතික ප්‍රතිපත්ති හා ආර්ථික කටයුතු අමාත්‍යාංශයපාර්ලිමේන්තු ප්‍රතිසංස්කරණ හා ජනමාධ්‍ය අමාත්‍යාංශයඛනිජ තෙල් හා පෙට්‍රෝලියම් වායු පිළිබඳ අමාත්‍යාංශයවැවිලි කර්මාන්ත අමාත්‍යාංශයවරාය හා නාවික කටයුතු අමාත්‍යාංශයතැපැල්, තැපැල් සේවා හා මුස්ලිම් ආගමික කටයුතු අමාත්‍යාංශයවිදුලි බල හා පුනර්ජනනීය බලශක්ති අමාත්‍යංශයරාජ්‍ය පරිපාලන හා කළමණාකරණය අමාත්‍යාංශයපුනරුත්ථාපන, නැවත පදිංචි කිරීම් හා හින්දු ආගමික කටයුතු අමාත්‍යාංශයග‍්‍රාමීය ආර්ථික කටයුතු අමාත්‍යාංශයනිපුණතා සංවර්ධන හා වෘත්තීය පුහුණු අමාත්‍යාංශයක්‍රීඩා අමාත්‍යාංශයතාක්ෂණ, තාක්ෂණ අධ්‍යාපන සහ රැකියා අමාත්‍යාංශයවිදුලි සංදේශ හා ඩිජිටල් යටිතල පහසුකම් අමාත්‍යාංශයප්‍රවාහන හා සිවිල් ගුවන් සේවා අමාත්‍යාංශයකඳුරට නව ගම්මාන, වතු යටිතල පහසුකම් හා ප්‍රජා සංවර්ධන අමාත්‍යංශයනාගරික සංවර්ධන හා ජල සම්පාදන අමාත්‍යාංශයකාන්තා හා ළමා කටයුතු අමාත්‍යාංශයළමා කටයුතු පිලිබඳ රාජ්‍ය අමාත්‍යාංශයආරක්ෂක රාජ්‍ය අමාත්‍යාංශයඅධ්‍යාපන රාජ්‍ය අමාත්‍යංශයමුදල් රාජ්‍ය අමාත්‍යංශයධීවර කටයුතු පිළිබඳ රාජ්‍ය අමාත්‍යාංශය
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=4&task=cat
"
ප්‍රාදේශීය ලේ‍කම් කාර්ය්‍යාලය - කොළඹ
ප්‍රාදේශීය මහ ලේකම්  කාර්යාලය,
කොළඹ ප්රාදේශීය ලේකම් කාර්යාලය,
වේල්ල වීදිය,
කොළඹ 12.මාර්ග සිතියමආයතන ප්‍රධානී ප්රාදේශීය ලේකම්ඩී.පී.වික්‍රමසිංහ මහතාසම්බන්ධ වීම : 011-2434902සම්බන්ධීකරණ නිලධාරීඑම්.ඒ.එස්.කාංචනා ගුනවර්දන මහත්මියතනතුර : සහකාර ප්රාදේශීය ලේකම්දුරකථන : 011-2320572සාමාන්‍ය තොරතුරුTelephones : 011-2437247Fax Nos : 011-2325512Email : ds@colombo.ds.gov.lkWebsite : www.colombo.ds.gov.lk
සපයන සේවාවන්:   රජයේ ඉඩම් නොමිලේ ලබා ගැනීම.   අනවසර, සංවර්ධිත රජයේ ඉඩම් නොමිලේ ලබා ගැනීම.   ඉඩම් සංවර්ධනය පද්ධතිය ජයභූමි ස්වර්ණභූමි ලෙස පරිවර්තනය කිරීම.   රජයේ ඉඩම් බදු දීම.   සංවර්ධනය කරනු ලැබූ අනවසර ඉඩම් බදු මත ලබා ගැනීම.   අත්පත් කරගත් ඉඩම් සඳහා වටිනාකම අනුව වන්දි මුදල් ගෙවීම.   ගස් කැපීම සඳහා බලපත්‍ර ලබා ගැනීම.   දැව ප්‍රවාහනය සඳහා බලපත්‍රයක් ලබා ගැනීම.   ලී බඩු ප්‍රවාහනය සඳහා බලපත්‍රය ලබා ගැනීම.   මත්පැන් සඳහා බලපත්‍ර ලබා ගැනීම.   උකස් බඩු ගැනිම සඳහා බලපත්‍රයක් ලබා ගැනීම.   ආදායමි සහතිකහක් ලබා ගැනීම.   බස් කොන්දොස්තරවරු සඳහා බලපත්‍ර ලබා ගැනීම.   මහජනාධාර දිමනා ලබාගැනිම.   රෝගාධාර ලබා ගැනීම.   පුනරුත්තාපනය කිරීමේ ආධාර ලබා ගැනීම.   ආබාධිත අය උපකරණ ලබා ගැනීම.   අනියමි සහනාධාර ලබාගැනිම.   විස්තිරණ ආපදා සදහා ආධාර ලබාගැනිම.    වැඩිහිටි සහ ළමා සුභ සාධනය.   විශේෂ ආධාර   නව උප්පැන්න සහතිකයක් ලබා ගැනීම.   උප්පැන්න සහතික පිටපත් ලබා ගැනීම.   දැනට භාවිතයේ පවතින උප්පැන්නයක් වෙනස් කිරීම.   විවාහ සහතිකයක් ලබා ගැනීම.   විවාහ සහතිකයේ පිටපතක් ලබා ගැනීම.   මරණ සහතිකයක් ලබා ගැනීම.   මරණ සහතිකයක පිටපතක් ලබා ගැනීම.   නව වාහන බලපත්‍ර ලබා ගැනීම.   බලපත්‍ර අලූත් කිරීම.   සාමාන්‍ය විශ්‍රාමික පඩි පිළිවෙල   වැන්දඹු ස්ත්‍රීන්ට හා වැන්දඹු පුරුෂයන්ට හා අනත් දරු විශ්‍රාම වැටුප් ක්‍රමය    සමෘද්ධි සහනාධාරයට අයදුමි කිරීම.   වැරදි ලෙස සමෘද්ධි සහනාධාර ලබාගැනීම පිලිබද පැමිණිලි කිරිම.
අවසන් වරට මෙම පිටුව යාවත්කාලීන කලේ :2017-10-24 13:01:06
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=9&task=org
"
Uva Provincial Revenue DepartmentUva Provincial Revenue Department
Uva Provincial Council
King's Street, Badulla. 90000ආයතන ප්‍රධානී Revenue Commissioner - UVAMr.W.M.Karunathileසම්බන්ධ වීම : 94-55-2229948සම්බන්ධීකරණ නිලධාරීMr.Samantha Rathnayakaතනතුර : Revenue Assessor  - UVAදුරකථන : 94-55-2222846සාමාන්‍ය තොරතුරුTelephones : 94 -55-2222846Fax Nos : 94-55-2229948Email : uvaprd@ymail.comWebsite : http://www.revenuedept.up.gov.lk/
සපයන සේවාවන්:   Services
අවසන් වරට මෙම පිටුව යාවත්කාලීන කලේ :2012-07-12 15:56:45
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=258&task=org
"
කැස්බෑව නගර සභාවකැස්බෑව නගර සභාව,
සමරකෝන් මාවත,
පිළියන්දලආයතන ප්‍රධානී සම්බන්ධ වීම : සම්බන්ධීකරණ නිලධාරීsecretoryතනතුර : දුරකථන : සාමාන්‍ය තොරතුරුTelephones : +94-11-2618100 /+94-11-2614201Fax Nos : +94-11-2618102Email : Website : Other Office Details:
සපයන සේවාවන්:   පරිසර බලපත්‍ර ලබා ගැනීම   නව වරිපනම් අංකයක් ලබා ගැනීම.   වරිපනම් හිමිකාරීත්වය වෙනස් කිරීම.   නව වරිපනම් අංක සඳහා තක්සේරු වාර්තා ලබා ගැනීම.   නොපවරාගැනීමේ සහතික ලබා ගැනීමට.   බිම් කට්ටි සැලසුම අනුමත කිරීම.   ගොඩනැගිලි සැලසුම් අනුමත කිරීම.   ගොඩනැගිලි සීමා/වීථි රේඛා සහතික ලබා ගැනීම.   අනුකූලතා සහතික ලබා ගැනීම.   සේවා ලබා ගැනීම සඳහා මාර්ග කැනීම.   සුළු හා මධ්‍ය පරිමාණ ව්‍යාපාර සඳහා වෙළඳ බලපත්‍ර ලබා ගැනීම.   හෝටල් සහ කර්මාන්ත සඳහා වෙළඳ බලපත්‍ර ලබා ගැනීම.    පුස්තකාල සාමාජික අයදුම්පත්‍ර ලබා ගැනීම.   ප්‍රජා මණ්ඩල ලියාපදිංචි වීම.   ආදාහනාගාර සේවය ලබා ගැනීම.   භෂ්මාවශේෂ තැන්පත් කිරීම.   අපද්‍රවය කළමණාකරණ සේවාව ලබා ගැනීම.   මල අපවහන කටයුතු සේවාව ලබා ගැනීම.    සුනඛයින් සඳහා ජල භීතිකා එන්නත් හා සුනඛ ගැහැණු සතුන් වන්ද්‍යනයනකරණය සඳහා “ඩිප්‍රෝණුවෙරා ”එන්නත් ලබා දීම.    බෝවන රෝග නිවාරණ වැඩසටහන්  පැවැත්වීම.   මාර්ග  පවරා ගැනීම හා සංවර්ධන කටයුතු.   මාර්ග  නම් කිරීම.    වීථි ලාම්පු අලුත් වැඩියාව.    අනතුරුදායක ගස් ඉවත් කිරීම.   අනවසර ඉදිකිරීම් ඉවත් කිරීම.   ආයුර්වේද සායන සේවා ලබා ගැනීම.   ක්‍රීඩා පිටිය වෙන් කරවා ගැනීම.   රංග ශාලාව වෙන් කරවා ගැනීම.   වරිපනම් හා අදාල සේවා
අවසන් වරට මෙම පිටුව යාවත්කාලීන කලේ :2009-11-05 12:36:39
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=86&task=org
"
ඌව පළාත් මාර්ග සංවර්ධන දෙපාර්තමේන්තුව
ඌව පළාත් මාර්ග සංවර්ධන දෙපාර්තමේන්තුව,
කාර්යාල ගොඩනැගිලි සංකීර්ණය,
ආර්.එච්. ගුණවර්ධන මාවත,
බදුල්ල
මාර්ග සිතියමආයතන ප්‍රධානී පළාත් අධ්‍යක්ෂ (මාර්ග)ඉංජි. කේ.ඒ.බී. සෙනෙවිරත්නසම්බන්ධ වීම : 055-2224781, 055-2229626, 055-2225486
සම්බන්ධීකරණ නිලධාරීඉංජි. පී.එම්. අමරසේකරතනතුර : ප්‍රධාන ඉංජිනේරු (සැලසුම්)දුරකථන : 055-2224781සාමාන්‍ය තොරතුරුTelephones : 055-2229626, 055-2225486, 055-2224781, 055-2225570, 055-2225012Fax Nos : 055-2224783,055-2225486Email : prddup@gmail.com,Website : www.roaddept.up.gov.lkOther Office Details:ප්‍රධාන කාර්යාලය
තනතුර
නම
අංශය
දුරකථන අංකය
ෆැක්ස් අංකය
ප්‍රධාන ඉංජිනේරු (සැලසුම්)
ඉංජි. පී.එම්. අමරසේකර
සැලසුම් අංශය
055-2224781
055-2224783
ප්‍රධාන ඉංජිනේරු (බදුල්ල දිස්ත්‍රික්කය)
ඉංජි.ඩී. ඩී. චන්ද්‍රතිලක
සංවර්ධන අංශය
055-2229626
055-2224783
ප්‍රධාන ඉංජිනේරු (මොණරාගල දිස්ත්‍රික්කය)
ඉංජි. එස්.එම්. ජයසුන්දර
සංවර්ධන අංශය
055-2224781
055-2224783
කාර්යාල ඉංජිනේරු
ඉංජි. ජේ.ඩබ්.කේ. කරුණානන්ද
සැලසුම් අංශය
055-2229626
055-2224783
ප්‍රාදේශීය ඉංජිනේරු කාර්යාල
තනතුර
නම
ප්‍රාදේශීය ඉංජිනේරු කාර්යාලය
දුරකථන අංකය
ෆැක්ස් අංකය
ප්‍රාදේශීය ඉංජිනේරු (බදුල්ල)
ඉංජි. එච්.එම්. ධර්මරත්න
ප්‍රාදේශීය ඉංජිනේරු කාර්යාලය, බදුල්ල
055-2223234
055-2223234
ප්‍රාදේශීය ඉංජිනේරු (දියතලාව)
ඉංජි. හෙන්ඩ්‍රි දිසානායක
ප්‍රාදේශීය ඉංජිනේරු කාර්යාලය, දියතලාව
057-2229059
057-2229059
ප්‍රාදේශීය ඉංජිනේරු කාර්යාලය, වැලිමඩ
ඉංජි. ආර්.එම්.ඒ.එස්. රත්නායක
ප්‍රාදේශීය ඉංජිනේරු කාර්යාලය, වැලිමඩ
057-2245231
057-2245231
ප්‍රාදේශීය ඉංජිනේරු කාර්යාලය, මහියංගණය
ඉංජි. සී.එච්. රත්නායක
ප්‍රාදේශීය ඉංජිනේරු කාර්යාලය, මහියංගණය
055-2257083
055-2257083
ප්‍රාදේශීය ඉංජිනේරු කාර්යාලය, මොණරාගල
ඉංජි. එච්.එම්.එච්. පුෂ්පකුමාර
ප්‍රාදේශීය ඉංජිනේරු කාර්යාලය, මොණරාගල
055-2276369
055-2276369
ප්‍රාදේශීය ඉංජිනේරු කාර්යාලය, වැල්ලවාය
ඉංජි. ඩබ්.එච්.පී.බී. වීරසිංහ
ප්‍රාදේශීය ඉංජිනේරු කාර්යාලය, වැල්ලවාය
055-2274422
055-2274422
සපයන සේවාවන්:   Building  limit   Road Reservations
අවසන් වරට මෙම පිටුව යාවත්කාලීන කලේ :2015-06-15 17:04:24
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=259&task=org
"
Kalutara Urban CouncilUrban Council - Kalutara
No.2, Kalutara South.ආයතන ප්‍රධානී Chairman of CouncilDeshakeerthi Al Haj M.M.M Jaufferසම්බන්ධ වීම : +94 34 2222277සම්බන්ධීකරණ නිලධාරීMr. Asoka Ranasingheතනතුර : Secretaryදුරකථන : +94 34 2222285සාමාන්‍ය තොරතුරුTelephones : +94 34 2222273/75Fax Nos : +94 34 226276Email : info@kalutara.uc.gov.lkWebsite : www.kalutara.uc.gov.lkOther Office Details:
Other Important contact details
Vice Chairman
+94 34 2221185
Secretary
+94 34 2222285
+94 34 2222285
Superintendent of Works
+94 34 2228922
Accountant
+94 34 2222689
Public Library
+94 34 2226422
+94 34 2226422
Fire Station
+94 34 2222466
+94 34 2226422
සපයන සේවාවන්:   APPROVING OF BUILDING PLANS   ISSUE OF CERTIFICATE OF CONFORMITY   ISSUE OF STREET LINE CERTIFICATES   EXCISE CONTROL OVER UNAUTHORISED CONSTRUCTIONS   CUTTING OF TREES THAT WOULD POSE TREATS   REPAIR OF STREET LAMPS   ROADS MAINTENANCE    MAINTAINING OF COUNCIL BUILDINGS   MAINTAINING OF CEMETARIES, PAVEMENTS, ROUNDABOUTS, COUNCILS PLAY GROUNDS, PARKS,    MAINTAINING OF PUBLIC BATHING, WELLS, PUBLIC BUS HALTS AND PUBLIC LAVATRINES   INFECTIOUS DISEASES CONTROL   GARBAGE COLLECTION AND DISPOSAL   CLEANING OF GRAINAGE SYSTEM   HOLDING      CLINICS   APPROVING OF BLOCK OF LAND
අවසන් වරට මෙම පිටුව යාවත්කාලීන කලේ :2012-09-12 14:27:07
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=113&task=org
